track_name,track_artist,track_album_name,track_href,uri
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R
HIM ALL ALONG,Gunna,HIM ALL ALONG,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl,spotify:track:2EKL77lwxvo615Ga7VjEUl
Gang Baby,NLE Choppa,SLUT SZN,https://api.spotify.com/v1/tracks/76Ku9OBFK1NjMylR8r4WLK,spotify:track:76Ku9OBFK1NjMylR8r4WLK
Help Me,Real Boston Richey,Help Me,https://api.spotify.com/v1/tracks/487JCvAXVblflZyDJn3fSp,spotify:track:487JCvAXVblflZyDJn3fSp
No Face,Drake,No Face,https://api.spotify.com/v1/tracks/1560osUcXrnov6yuOjXvc1,spotify:track:1560osUcXrnov6yuOjXvc1
Sorry Not Sorry,"Lil Yachty, Veeze",Sorry Not Sorry,https://api.spotify.com/v1/tracks/4lwfqyQXSDJ7kELpMErMih,spotify:track:4lwfqyQXSDJ7kELpMErMih
Brokey,Latto,Sugar Honey Iced Tea,https://api.spotify.com/v1/tracks/1JF8LkQWZ8grXb2emqrNKn,spotify:track:1JF8LkQWZ8grXb2emqrNKn
Not Like Us,Kendrick Lamar,Not Like Us,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",CHROMAKOPIA,https://api.spotify.com/v1/tracks/2aYHxnMF2umAavtgBvmkY1,spotify:track:2aYHxnMF2umAavtgBvmkY1
Both Ways,Juice WRLD,The Pre-Party (Extended),https://api.spotify.com/v1/tracks/2FRc9wqgIjg2E3bH13ww6U,spotify:track:2FRc9wqgIjg2E3bH13ww6U
NISSAN ALTIMA,Doechii,Alligator Bites Never Heal,https://api.spotify.com/v1/tracks/2dKkVF2m160z0RNDN2dddc,spotify:track:2dKkVF2m160z0RNDN2dddc
