track_name,track_artist,track_album_name,track_href,uri
Andrea,"Bad Bunny, Buscabulla",Un Verano Sin Ti,https://api.spotify.com/v1/tracks/44XjoNvtwevktFKjvVe1vH,spotify:track:44XjoNvtwevktFKjvVe1vH
AMOR DE CINE,HUMBE,AURORA,https://api.spotify.com/v1/tracks/0v9UztY5A12cJUsWD7PZzS,spotify:track:0v9UztY5A12cJUsWD7PZzS
Si No Estás,iñigo quintero,Si No Estás,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14
10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",NOT ALL HEROES WEAR CAPES (Deluxe),https://api.spotify.com/v1/tracks/0AluA5RNsa4Cx6XRhf2hWZ,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ
Dealer,"Ayo Maff, Fireboy DML",Dealer,https://api.spotify.com/v1/tracks/5Wxkvvb6pLky16pwq4gBI3,spotify:track:5Wxkvvb6pLky16pwq4gBI3
MMS,"Asake, Wizkid",Lungu Boy,https://api.spotify.com/v1/tracks/13VXuHw3O8Yt7VwRIDqSo4,spotify:track:13VXuHw3O8Yt7VwRIDqSo4
alone - Remix,"FOLA, Bnxn",alone (Remix),https://api.spotify.com/v1/tracks/2GSK9VfsKWpVOV6ZzKiMA4,spotify:track:2GSK9VfsKWpVOV6ZzKiMA4
Night Changes,One Direction,FOUR (Deluxe),https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ
Easy On Me,Adele,Easy On Me,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE
All of Me,John Legend,Love In The Future (Expanded Edition),https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a
Stick Season,Noah Kahan,Stick Season,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,spotify:track:0nJW01T7XtvILxQgC5J7Wh
Another Love,Tom Odell,Long Way Down (Deluxe),https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4
Something in the Orange,Zach Bryan,Something in the Orange,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI
Say You Won't Let Go,James Arthur,Back from the Edge,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,spotify:track:5uCax9HTNlzGybIStD3vDh
The Scientist,Coldplay,A Rush of Blood to the Head,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle
Skyfall,Adele,Skyfall,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm
Lover,Taylor Swift,Lover,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI
Heather,Conan Gray,Kid Krow,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA
Photograph,Ed Sheeran,x (Deluxe Edition),https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,spotify:track:2gMXnyrvIjhVBUZwvLZDMP
Memories,Maroon 5,JORDI (Deluxe),https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI
Heartbreak Anniversary,Giveon,TAKE TIME,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",Until I Found You (Em Beihold Version),https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN
This Town,Niall Horan,Flicker (Deluxe),https://api.spotify.com/v1/tracks/0qvzXomUDJVaUboy2wMfiS,spotify:track:0qvzXomUDJVaUboy2wMfiS
Dancing On My Own,Calum Scott,Only Human (Deluxe),https://api.spotify.com/v1/tracks/2BOqDYLOJBiMOXShCV1neZ,spotify:track:2BOqDYLOJBiMOXShCV1neZ
Lose You To Love Me,Selena Gomez,Rare,https://api.spotify.com/v1/tracks/4l0Mvzj72xxOpRrp6h8nHi,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
Be Alright,Dean Lewis,Be Alright,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm
Arcade,Duncan Laurence,Arcade,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD
If You Love Her,Forest Blakk,If You Love Her,https://api.spotify.com/v1/tracks/727Z2S2mtNH46CbP9EWPwY,spotify:track:727Z2S2mtNH46CbP9EWPwY
You Say,Lauren Daigle,Look Up Child,https://api.spotify.com/v1/tracks/6Up545NUflOiXo8cEraH49,spotify:track:6Up545NUflOiXo8cEraH49
If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),https://api.spotify.com/v1/tracks/2kJwzbxV2ppxnQoYw4GLBZ,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ
Rise Up,Andra Day,Cheers to the Fall,https://api.spotify.com/v1/tracks/0tV8pOpiNsKqUys0ilUcXz,spotify:track:0tV8pOpiNsKqUys0ilUcXz
jar of hearts,Christina Perri,lovestrong.,https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m,spotify:track:0HZhYMZOcUzZKSFwPOti6m
Control,Zoe Wees,Control,https://api.spotify.com/v1/tracks/50Td3qilgs8BLtv8mHyT1t,spotify:track:50Td3qilgs8BLtv8mHyT1t
Beanie,Chezile,Beanie,https://api.spotify.com/v1/tracks/5e0b9LgOfi3aJSKXFcOWRe,spotify:track:5e0b9LgOfi3aJSKXFcOWRe
Nothing's New,Rio Romeo,Good God!,https://api.spotify.com/v1/tracks/0EF1EE8zusg3Y869e56JFd,spotify:track:0EF1EE8zusg3Y869e56JFd
Better,sign crushes motorist,i'll be okay,https://api.spotify.com/v1/tracks/0Z94dtWElamDwU4NrcGoUR,spotify:track:0Z94dtWElamDwU4NrcGoUR
Ghostride,Crumb,Jinx,https://api.spotify.com/v1/tracks/0R3TWpoxAhT3HDXM7tpRzS,spotify:track:0R3TWpoxAhT3HDXM7tpRzS
I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm
You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",https://api.spotify.com/v1/tracks/3AoeaZs8dFemFJr3JdzOL0,spotify:track:3AoeaZs8dFemFJr3JdzOL0
Stuck On You,Lionel Richie,Can't Slow Down,https://api.spotify.com/v1/tracks/6HPLeKiNm92RbykX2BDTUB,spotify:track:6HPLeKiNm92RbykX2BDTUB
Killing Me Softly With His Song,Roberta Flack,Killing Me Softly,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,spotify:track:3gsCAGsWr6pUm1Vy7CPPob
Saving All My Love for You,Whitney Houston,Whitney Houston,https://api.spotify.com/v1/tracks/1lx8ddGT5wCD6W2xmLeRKG,spotify:track:1lx8ddGT5wCD6W2xmLeRKG
Only Time,Enya,A Day Without Rain,https://api.spotify.com/v1/tracks/6FLwmdmW77N1Pxb1aWsZmO,spotify:track:6FLwmdmW77N1Pxb1aWsZmO
Kiss from a Rose,Seal,Seal,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,spotify:track:3YKptz29AsOlm7WAVnztBh
It's All Coming Back to Me Now,Céline Dion,Falling into You,https://api.spotify.com/v1/tracks/5EQzuYfTZt7B2LqlvTF49l,spotify:track:5EQzuYfTZt7B2LqlvTF49l
You're Beautiful,James Blunt,Back to Bedlam,https://api.spotify.com/v1/tracks/0vg4WnUWvze6pBOJDTq99k,spotify:track:0vg4WnUWvze6pBOJDTq99k
