track_name,track_artist,track_album_name,track_href,uri
Bandoleros,"Don Omar, Tego Calderón",The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/4BxzNZpcm1j3JczZzGNe2k,spotify:track:4BxzNZpcm1j3JczZzGNe2k
Rucón,Alemán,Eclipse,https://api.spotify.com/v1/tracks/78M7CiqTpJYoPQKkwjM48Z,spotify:track:78M7CiqTpJYoPQKkwjM48Z
Heads Will Roll,Yeah Yeah Yeahs,It's Blitz!,https://api.spotify.com/v1/tracks/2WRFD9WczJ975X2K1Y9YVs,spotify:track:2WRFD9WczJ975X2K1Y9YVs
Are You Gonna Be My Girl,Jet,Get Born,https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6,spotify:track:305WCRhhS10XUcH6AEwZk6
Feel It Still,Portugal. The Man,Woodstock,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
Too Sweet,Hozier,Unheard,https://api.spotify.com/v1/tracks/3HMY0r2BAdpasXMY8rseR0,spotify:track:3HMY0r2BAdpasXMY8rseR0
The Adults Are Talking,The Strokes,The New Abnormal,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,spotify:track:5ruzrDWcT0vuJIOMW7gMnW
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",https://api.spotify.com/v1/tracks/0uI7yAKUf52Cn7y3sYyjiX,spotify:track:0uI7yAKUf52Cn7y3sYyjiX
This Charming Man - 2011 Remaster,The Smiths,The Smiths,https://api.spotify.com/v1/tracks/1FvDJ9KGxcqwv1utyPL3JZ,spotify:track:1FvDJ9KGxcqwv1utyPL3JZ
Oysters In My Pocket,Royel Otis,Oysters In My Pocket,https://api.spotify.com/v1/tracks/2B664ulJSVBd6B8SAY3Wux,spotify:track:2B664ulJSVBd6B8SAY3Wux
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,https://api.spotify.com/v1/tracks/2x8evxqUlF0eRabbW2JBJd,spotify:track:2x8evxqUlF0eRabbW2JBJd
You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,https://api.spotify.com/v1/tracks/1Cwsd5xI8CajJz795oy4XF,spotify:track:1Cwsd5xI8CajJz795oy4XF
Hell N Back,Bakar,Hell N Back,https://api.spotify.com/v1/tracks/3NRql0A1Ef4RCvT473iqgD,spotify:track:3NRql0A1Ef4RCvT473iqgD
Someday,The Strokes,Is This It,https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI,spotify:track:7hm4HTk9encxT0LYC0J6oI
Family Affair,Mary J. Blige,No More Drama,https://api.spotify.com/v1/tracks/3aw9iWUQ3VrPQltgwvN9Xu,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu
Forever Yours,Brent Faiyaz,Larger Than Life,https://api.spotify.com/v1/tracks/2JqkpMe2eJToJNHEqkJeCu,spotify:track:2JqkpMe2eJToJNHEqkJeCu
Always On Time,"Ja Rule, Ashanti",Pain Is Love,https://api.spotify.com/v1/tracks/2hNf1rawV2XAZ6Jld2Fxwf,spotify:track:2hNf1rawV2XAZ6Jld2Fxwf
You,"Lloyd, Lil Wayne",Street Love,https://api.spotify.com/v1/tracks/5Y77SQxEr1eiofPeUTPHxM,spotify:track:5Y77SQxEr1eiofPeUTPHxM
Language,"Paperboy Fabe, Brent Faiyaz",Language,https://api.spotify.com/v1/tracks/4RnvS1tmh1ERhjXX6dxv95,spotify:track:4RnvS1tmh1ERhjXX6dxv95
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",Planet Pit (Deluxe Version),https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W
The Nights,Avicii,The Days / Nights,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc
Ride It,Regard,Ride It,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,spotify:track:2tnVG71enUj33Ic2nFN6kZ
