track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Desesperados,"Rauw Alejandro, Chencho Corleone",Desesperados,68,0.694,0.511,0.869,0.356,0.00125,90.02,https://api.spotify.com/v1/tracks/6ZOcbKub95XSDESsKKuH41,spotify:track:6ZOcbKub95XSDESsKKuH41,Balanced / Versatile Mix
Te Felicito,"Shakira, Rauw Alejandro",Te Felicito,70,0.636,0.575,0.695,0.234,0.0,174.14,https://api.spotify.com/v1/tracks/2rurDawMfoKP4uHyb2kJBt,spotify:track:2rurDawMfoKP4uHyb2kJBt,Feel-Good Hits
Después de la Playa,Bad Bunny,Un Verano Sin Ti,71,0.903,0.607,0.564,0.356,0.0,78.293,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,Balanced / Versatile Mix
Moscow Mule,Bad Bunny,Un Verano Sin Ti,79,0.674,0.292,0.804,0.294,1.18e-06,99.968,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,spotify:track:6Xom58OOXk2SoU711L2IXO,Balanced / Versatile Mix
Agosto,Bad Bunny,Un Verano Sin Ti,71,0.584,0.724,0.849,0.0929,6.18e-06,115.018,https://api.spotify.com/v1/tracks/0wihfILRNOwE2156Shezc8,spotify:track:0wihfILRNOwE2156Shezc8,Balanced / Versatile Mix
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Yo Te Quiero Pa Mi,70,0.673,0.342,0.655,0.473,0.0,181.891,https://api.spotify.com/v1/tracks/17I27VXKtqXJHL6ReaG0eS,spotify:track:17I27VXKtqXJHL6ReaG0eS,Intense Hits
GATÚBELA,"KAROL G, Maldy",GATÚBELA,68,0.858,0.342,0.627,0.263,0.0,92.523,https://api.spotify.com/v1/tracks/1ga4PztXOIw1yBbdUt2X8v,spotify:track:1ga4PztXOIw1yBbdUt2X8v,Intense Hits
¿Qué Nos Pasó?,Anuel AA,¿Qué Nos Pasó?,71,0.694,0.298,0.703,0.436,5.8e-06,95.0,https://api.spotify.com/v1/tracks/7k3qWn8D43a5ISa3x8lJux,spotify:track:7k3qWn8D43a5ISa3x8lJux,Balanced / Versatile Mix
LA INOCENTE,"Mora, Feid",MICRODOSIS,78,0.789,0.464,0.757,0.307,0.0,91.911,https://api.spotify.com/v1/tracks/5jt25aFjW2kNoBqaEVaz5W,spotify:track:5jt25aFjW2kNoBqaEVaz5W,Balanced / Versatile Mix
Sexo Virtual,Rauw Alejandro,VICE VERSA,70,0.739,0.425,0.704,0.328,1.93e-05,179.879,https://api.spotify.com/v1/tracks/1lV3QHHMAQt0Kc1ioZq2MP,spotify:track:1lV3QHHMAQt0Kc1ioZq2MP,Intense Hits
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,70,0.846,0.604,0.734,0.166,1.74e-06,98.026,https://api.spotify.com/v1/tracks/2BEcap3xJtmiPaHKyfQi4e,spotify:track:2BEcap3xJtmiPaHKyfQi4e,Balanced / Versatile Mix
Gato de Noche,"Ñengo Flow, Bad Bunny",Gato de Noche,68,0.662,0.607,0.892,0.169,1.24e-06,93.976,https://api.spotify.com/v1/tracks/54ELExv56KCAB4UP9cOCzC,spotify:track:54ELExv56KCAB4UP9cOCzC,Balanced / Versatile Mix
La Bebe - Remix,"Yng Lvcas, Peso Pluma",La Bebe (Remix),79,0.479,0.559,0.812,0.213,1.21e-06,169.922,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,spotify:track:2UW7JaomAMuX9pZrjVpHAU,Balanced / Versatile Mix
QUEMA,"Ryan Castro, Peso Pluma, SOG",QUEMA,74,0.892,0.916,0.791,0.0509,0.000355,97.008,https://api.spotify.com/v1/tracks/2hn2zOA2XFlv6DSmesylrL,spotify:track:2hn2zOA2XFlv6DSmesylrL,Feel-Good Hits
